Date,Economic Policy Uncertainty,Monetary policy,Fiscal Policy,Health care,National security,Entitlement programs,Regulation,Financial Regulation,Trade policy,Sovereign debt
1/1/04,91.41056812,94.51192914,131.2189128,185.8738988,145.2369664,186.7428814,113.9143471,38.52213889,44.99439431,25.80870374
2/1/04,81.16808169,53.07184275,111.1953388,135.3592522,102.397804,68.54122758,62.17867262,48.88733592,63.44565411,27.2942349
3/1/04,63.46619788,38.91576892,73.43260281,102.4543849,84.91315697,101.1677428,56.40432508,0,54.67596349,8.253166953
4/1/04,58.45098921,57.15698577,64.59898263,97.09715066,65.88141216,40.75133345,39.4614019,41.36815683,38.06918651,16.79724383
5/1/04,75.19951025,92.67783958,62.95430409,68.93911118,100.7672593,32.03164588,62.14824158,78.63077444,72.89034826,41.8097728
6/1/04,76.65543128,114.736083,62.70184062,72.58685324,88.0939178,50.04074506,80.65448991,91.73058969,31.05582763,0
7/1/04,59.93571509,73.34909203,52.98298577,65.53624565,75.04907199,33.25832736,76.72802133,44.23951423,21.92161079,17.96313794
8/1/04,66.50676626,95.12458581,61.22607302,90.65845607,115.682762,64.41028187,56.46669786,19.47208555,30.32488921,0
9/1/04,71.6541946,71.32165237,63.29700611,139.0358413,120.0375634,114.7884268,84.04305303,64.55894409,26.6137924,25.44270584
10/1/04,98.43444356,107.7022302,131.9171309,238.1489472,172.2232406,153.9486649,84.93966031,35.05665419,60.05510127,15.65795372
11/1/04,72.93830695,78.57551175,79.84567042,138.0185516,122.0305872,149.4230976,55.37901832,33.92819089,35.22542144,25.25654806
12/1/04,38.38450628,28.59229406,37.24450986,42.20191944,32.95661386,47.20854155,46.65872388,26.33790372,32.22794465,8.402677794
1/1/05,63.28755909,77.83283293,66.5608974,99.86236564,71.04617949,113.6973153,57.92331345,80.47512344,11.39346232,32.67634757
2/1/05,60.01146221,31.34054454,66.4522156,105.3903897,87.95495503,170.8211277,61.96230978,43.30419812,25.28995302,8.059039786
3/1/05,54.56060965,42.25327753,64.21262934,79.62372998,60.93732738,98.03969848,75.4931462,51.89569624,35.35868899,14.48691462
4/1/05,62.47120315,68.83730803,59.05549097,49.05973745,46.3059974,89.43668775,68.29183329,37.50039336,61.05591336,45.68029852
5/1/05,69.62570491,60.59286998,50.46590156,70.43236203,55.01082923,76.12079545,61.51019929,41.60151028,124.1773653,46.45298716
6/1/05,56.45053984,61.41351474,42.21767127,42.43266083,37.72484722,28.58787292,51.23145235,53.70693015,64.12445165,31.98406109
7/1/05,50.4979448,56.60819119,30.4697,31.08538838,42.42040955,33.50872146,35.02914009,36.72173038,94.36128268,147.6148969
8/1/05,52.903439,42.41258188,42.78195206,32.02916087,67.91377187,39.14292582,38.94648467,24.63780289,32.88833902,7.860288405
9/1/05,82.20472081,126.8743665,50.15339636,52.18263686,58.31485867,88.61404484,39.30937702,40.53323232,21.04150197,15.08670965
10/1/05,59.56882817,80.45718733,49.16952589,75.64640226,52.03660463,63.58903951,47.54868795,42.63163249,38.30333848,21.97072613
11/1/05,48.35186939,32.46609598,51.7575518,49.92881749,63.2734258,65.38130653,31.06362803,13.29167624,20.69981709,44.5251671
12/1/05,56.89408922,78.73817649,38.59700296,54.30203783,45.16742813,42.92587076,52.86923774,27.36980371,39.96038953,15.28080509
1/1/06,60.81727222,62.22241081,54.01584102,99.56219162,63.92737179,89.75141029,43.61324084,53.00940352,18.05875196,51.79233839
