date,volatility,crisis,risk,stock market,Investment,Momentum,stock,unemployment,default,crash,meltdown,refinance,Federal Reserve,downgrade,sell-off,corporate bond,credit spread,interest expense,investment-grade,interest penalty,funding cost,bond broker,debt fund,credit rating,buy bond,bidder,leverage,loan,credit cycle
1/1/04,172.8271794,168.4467399,224.0920792,286.7435582,214.2033418,12.24049769,268.1059849,86.78992424,188.5704396,223.230997,20.90417471,74.56759044,242.068172,0,0,258.3694701,0,0,0,0,0,0,0,929.2289202,0,0,0,101.0863215,0
1/2/04,86.41358972,213.3658705,257.7058911,735.5595623,434.5267791,18.8315349,354.7248415,212.7752981,224.9612262,181.3751851,7.126423196,191.7452326,816.9800805,124.1346871,0,129.1847351,0,0,0,0,0,0,0,1626.15061,0,0,102.0470479,158.8499338,0
1/3/04,104.9307875,183.4197834,227.8269472,760.4937848,348.8454424,22.59784188,239.2330326,145.5830987,211.7282129,279.0387463,8.551707835,138.482668,574.9119085,111.4029244,0,159.5811433,0,0,0,0,0,0,0,1103.459343,0,0,83.14944645,115.5272246,0
1/4/04,203.6891758,194.6495661,197.9480033,635.8226725,324.3650605,36.72149306,251.607155,181.9788734,145.5631464,286.0147149,8.076612955,21.30502584,816.9800805,70.02469531,0,0,0,0,0,0,0,0,0,1335.766573,0,0,79.36992616,107.27528,0
1/5/04,0,134.7573919,227.8269472,635.8226725,538.5684023,43.31253028,379.4730863,246.3713978,310.9758127,258.1108403,24.22983887,66.04558011,1180.082339,0,0,0,0,0,0,0,0,0,0,1568.073803,0,0,0,123.7791692,0
1/6/04,259.2407692,190.9063052,354.8124587,1146.974233,599.7693571,55.55302796,379.4730863,279.9674975,287.8180395,188.3511537,9.976992474,93.7421137,1573.443118,60.47587322,0,129.1847351,0,0,0,0,0,0,0,696.9216901,0,0,98.26752763,181.5427815,0
1/7/04,123.4479853,179.6765225,261.4407591,760.4937848,501.8478294,54.61145122,354.7248415,207.1759482,261.3520128,188.3511537,7.601518076,27.69653359,1754.994247,89.12233949,0,379.9551031,0,0,0,0,0,0,0,1335.766573,0,0,143.6217711,173.2908369,0
1/8/04,314.7923626,243.3119576,339.8729868,910.0991195,520.2081158,54.61145122,358.849549,198.7769232,271.2767728,139.5193731,9.976992474,68.17608269,756.4630375,111.4029244,0,189.9775516,0,0,0,0,0,0,0,2613.456338,0,0,98.26752763,177.4168092,0
1/9/04,166.6547802,205.8793487,302.5243069,785.4280072,465.1272565,24.48099537,371.2236713,215.5749731,264.6602662,153.4713105,10.45208735,42.61005168,1149.823817,95.48822088,0,98.78832681,0,0,0,0,0,0,0,1393.84338,0,0,102.0470479,152.6609754,0
1/10/04,98.75838825,198.3928269,164.3341914,1122.04001,263.1641057,21.65626514,292.8542296,142.7834237,228.2694796,160.4472791,39.43287502,42.61005168,786.721559,175.0617383,0,0,0,0,0,0,0,0,0,1277.689765,0,0,113.3856088,146.4720169,0
1/11/04,191.3443772,202.1360878,231.5618152,673.2240062,293.7645831,34.83833957,263.9812774,195.9772483,228.2694796,181.3751851,7.601518076,83.08960078,877.4971235,101.8541023,0,144.3829392,0,0,0,0,0,0,0,1742.304225,0,0,71.81088557,119.6531969,0
1/12/04,277.757967,247.0552185,302.5243069,872.6977858,575.2889752,31.07203259,342.3507191,271.5684726,228.2694796,160.4472791,24.22983887,53.2625646,877.4971235,63.65881392,0,0,0,0,0,0,0,0,0,1277.689765,0,0,0,165.0388923,0
1/13/04,178.9995787,235.8254358,306.2591749,573.4871164,599.7693571,60.26091169,375.3483788,237.9723729,264.6602662,132.5434045,7.126423196,91.61161111,1603.70164,127.3176278,0,91.18922475,0,0,0,0,0,0,0,1103.459343,0,0,117.1651291,173.2908369,0
1/14/04,277.757967,243.3119576,302.5243069,760.4937848,587.5291661,44.25410702,362.9742564,167.9804985,297.7427994,174.3992164,11.87737199,66.04558011,1210.34086,127.3176278,0,91.18922475,0,0,0,0,0,0,0,2671.533145,0,0,188.9760147,175.353823,0
1/15/04,246.8959706,209.6226096,272.645363,623.3555613,501.8478294,35.77991631,375.3483788,190.3778983,274.5850262,160.4472791,9.976992474,93.7421137,1543.184597,44.56116974,0,273.5676742,0,0,0,0,0,0,0,2264.995493,0,0,166.2988929,158.8499338,0
1/16/04,265.4131684,202.1360878,261.4407591,935.0333419,471.247352,18.8315349,387.7225012,170.7801735,304.3593061,139.5193731,0,100.1336215,877.4971235,47.74411044,0,98.78832681,0,0,0,0,0,0,0,1509.996995,0,0,124.7241697,165.0388923,0
1/17/04,197.5167765,228.338914,242.7664191,847.7635634,348.8454424,28.24730235,346.4754266,139.9837488,188.5704396,160.4472791,7.601518076,104.3946266,393.3607795,66.84175462,0,0,0,0,0,0,0,0,0,987.3057277,0,0,71.81088557,148.535003,0
